state,date,tweet_count,total_likes,sentiment_avg,total_retweets,total_followers,most_common_issues,most_common_derogatory_language,most_common_adjectives,top_10_user_screen_name,most_common_hashtag,top_hashtags,top_cleaned_tweet,states_code
Nebraska,2020-10-31,19,11.0,0.1279421052631579,2.0,49223.0,covid,war,economic hard prepared,"['mr_bluetown', 'MoreWhit', 'realateachick', 'BillHic77873626', 'salpie', 'VickyGalindo12', '12oClockSharp', 'sailor_harmony', 'bobhanaka', 'jmleeds']","#biden,#trump,#wethepeople","['#biden,#trump,#wethepeople']",['on biden vs trump amp the coming economic hunger games there are hard truths wethepeople must not ignore amp be prepared to overcome via'],NE
Nebraska,2020-11-01,19,18.0,0.23375263157894738,1.0,47638.0,corrupt,kill,current fl surprised,"['mr_bluetown', 'salpie', 'james_polls', 'deanohenson', 'socialistmomma', 'davidsmollfri', 'dulcesherman', 'ProgressiRising', 'FOX42KPTM', 'NebraskaUSA1']",#trump,['#trump'],['here is my current view which would give biden a  ec win over trump fl is toss up and would not be surprised if trump won it decision'],NE
Nebraska,2020-11-02,32,33.0,0.0673,10.0,50649.0,covid,anger,generalstrike,"['NebraskaUSA1', 'mr_bluetown', 'ProgressiRising', 'salpie', 'MarqueASnow', 'CannaCommNE', 'KevWarmhold', 'chrisarnesonsho', 'NebraskaNative1', 'chrisheger5']",#trump,['#trump'],['unions discussing generalstrike if trump refuses to accept a biden victory'],NE
Nebraska,2020-11-03,27,23.0,0.12975555555555557,7.0,115220.0,covid,war,fun joebiden,"['FOX42KPTM', 'realateachick', 'writer6', 'KevWarmhold', 'mr_bluetown', 'scottamylola', 'MoreWhit', 'BrianWolatz', 'Eric_in_Omaha', 'Gretchen1290']",#trump,['#trump'],['which rally is more fun trumprally bidenrally donaldtrump joebiden trump biden'],NE
Nebraska,2020-11-04,38,677.0,0.027113157894736842,65.0,125124.0,"fraud, maga",emotional,new,"['mr_bluetown', 'salpie', 'KevWarmhold', 'zayasdad', 'jeffreykoterba', 'BerserkerD_TV', 'NikkiNuVogue', 'FOX42KPTM', 'Pattizongker47', 'scottamylola']",#biden,['#biden'],['call for fraud before absentee ballots are counted genius if your a fuckin doorknob with the emotional capacity of a toddler the lack of dignity is honestly impressive biden trump magalandslidevictory'],NE
Nebraska,2020-11-05,25,37.0,0.07663199999999999,1.0,31218.0,covid,war,basic,"['mr_bluetown', 'salpie', 'MAMA_Nebraska', 'whitepatrick', 'RonnieVonz', 'omaha7184', 'alisonlaflan', 'NemojZezat', 'Qs2thinking', 'AlexandersJam']",#trump,['#trump'],['even the most basic gymnastics promote agility flexibility and athleticism gynmastics beanathlete martialarts bjj judo muaythai trump biden  omaha nebraska siliconprairie politicssuck'],NE
Nebraska,2020-11-06,36,44.0,0.10090833333333332,6.0,55966.0,corrupt,traitor,hmmmm,"['mr_bluetown', 'salpie', 'NikkiNuVogue', 'jmleeds', 'bjbumgarner', 'scottamylola', 'chrisarnesonsho', 'MockboyG', 'Edward6633', 'zayasdad']",#trump,['#trump'],['trump is getting stomped by biden by  million votes'],NE
Nebraska,2020-11-07,59,164.0,-0.013323728813559322,21.0,640633.0,maga,hate,crazy less separate electoral,"['Edward6633', 'mr_bluetown', 'scottamylola', 'salpie', 'ImMidwestsBest', 'WOWT6News', 'chrisarnesonsho', 'desjardins7', 'TheOrdinarySun', 'deanohenson']",#trump,['#trump'],['i made one for donaldtrump in case he won i am kidding i didnt really bidenharris joebiden election maga'],NE
Nebraska,2020-11-08,38,122.0,0.16322894736842106,14.0,60969.0,covid,war,bad,"['mr_bluetown', 'salpie', 'djtraainwreck', 'bobhanaka', 'JackLovesJoeB', 'TheAlexHeinen', 'IanBaehr2', 'DannyClaassen3', 'deanohenson', 'ImMidwestsBest']",#biden,['#biden'],['stop talking bad about biden he did what again you guys forget who epstein was election biden trump presidentelectjoe'],NE
Nevada,2020-10-15,136,647.0,-0.004469852941176473,417.0,4358517.0,hunterbiden,attack,chinajoe,"['WeSurvivedObama', 'ADevotedYogi', 'NVPatriotGirl', 'DonNBoulderCity', 'KeilKyle', 'JoJoDiplomat', 'PDFStreaming_', 'Unminced_Words', 'OfficialOURPAC', 'KTNV']",#trump,['#trump'],['fbi had the hunterbidenemails amp knew about the joebidenukrainescandal since december of  y wasnt it investigated y wasnt it in the muellerreport biden did exactly what they were accusingimpeaching trump for bidentownhall bidentownhallonabc democratsfortrump'],NV
Nevada,2020-10-16,145,313.0,0.04343379310344827,323.0,1535852.0,bluewave,war,last,"['WeSurvivedObama', 'OfficialOURPAC', 'JoJoDiplomat', 'JohnAStewart7', 'graham_mendes', 'TakeBackUSA1', 'howardmccarley', 'Dee_Biden2020', 'BudMeyers99', 'KeilKyle']",#biden,['#biden'],['act like youre losing until someone tells you you won biden bidenharris bidenharristosaveamerica bidenharrislandslide'],NV
Nevada,2020-10-17,77,206.0,-0.015012987012987013,221.0,208185.0,corrupt,kill,corrupt,"['JoJoDiplomat', 'WeSurvivedObama', 'JohnAStewart7', 'TakeBackUSA1', 'PandaMike5', 'StallionSlayer', 'AebJudith', 'AnArtfulPenguin', 'graham_mendes', 'JohnCordBooks2']",#trump,['#trump'],['how can moscow moscow represent godless communism the sovereignkilling nwo internationalists when dc is swamped in it trump biden puppets mel gibson the jews did not kill jesus you can be that last trump oprah noahide laws'],NV
Nevada,2020-10-18,109,839.0,0.09840825688073394,248.0,1523638.0,"covid, maga, corrupt, blacklivesmatter, bluewave",war,new,"['JoJoDiplomat', 'Unminced_Words', 'Dee_Biden2020', 'WeSurvivedObama', 'perfectdomain1', 'TakeBackUSA1', 'BudMeyers99', 'KTNV', 'MattRybaltowski', 'ADevotedYogi']",#trump,['#trump'],['bluewave voteblue resist vote notmypresident dumptrump election liarinchief biden democrats trump fucktrump blacklivesmatter covid joebiden bidenharris nevertrump impeachtrump politics obamacare maga democrat bernie love corruption repost coronavirus'],NV
Nevada,2020-10-19,103,146.0,0.11689320388349514,109.0,323934.0,covid,kill,new more honest more unsure,"['OfficialOURPAC', 'JoJoDiplomat', 'ValGalante_Love', 'JohnCordBooks2', 'stephenrwinter', 'howardmccarley', 'DocsPSCbasics', 'BudMeyers99', 'WeSurvivedObama', 'PandaMike5']",#trump,['#trump'],['act like youre losing until someone tells you you won biden bidenharris bidenharristosaveamerica bidenharrislandslide'],NV
Nevada,2020-10-20,118,199.0,0.036333898305084746,41.0,409122.0,covid,war,near yosemite retweet retweet,"['Unminced_Words', 'JoJoDiplomat', 'AurichYuri', 'OfficialOURPAC', 'NVPatriotGirl', 'JohnCordBooks2', 'lasvegaskev', 'jamesturnagenov', 'MattSoleyn', 'shamo__m']",#biden,['#biden'],['celebrate the near end of the trumpera with a yosemite mug shirt onesie hoodie at just  get  off use code spookypumpkin at retweet retweet retweet fucktrump biden bidenharris'],NV
Nevada,2020-10-21,134,501.0,0.05216119402985075,169.0,535807.0,hunterbiden,war,open,"['JoJoDiplomat', 'JohnCordBooks2', 'RehabbingUSA', 'BudMeyers99', 'UfoJoe11', 'leorufus', 'Dee_Biden2020', 'PandaMike5', 'the1clarkpowers', 'OfficialOURPAC']",#biden,['#biden'],['coward its time to face questions you cant hide forever using others for your voice fakenews isnt going to hide your sins with child porn corruption and open transparency you got caught face the music bidencrimefamiily biden corruptjoebiden'],NV
Nevada,2020-10-22,107,202.0,-0.018626168224299064,179.0,303845.0,hunterbiden,kill,best great,"['PandaMike5', 'BudMeyers99', 'WeSurvivedObama', 'dweinberger66', 'RambosKitchen', 'TommyMcVegas', 'mncricket', 'JoJoDiplomat', 'Dee_Biden2020', 'JohnCordBooks2']",#biden,['#biden'],['trump and biden hit debate stage one last time tonight heres how to tune in kxnt vegas nashville presidentialdebates politics'],NV
